encoder,source,class_index,class_name,distinctiveness,top1_competitor,top1_similarity,top2_competitor,top2_similarity,top1_top2_gap
all-mpnet-base-v2,SA-DVAE,7,Throw,0.5387936,Drop,0.56787044,Pickup,0.46382862,0.104041815
all-mpnet-base-v2,SA-DVAE,8,Sitting down,0.53425187,Standing up (from sitting position),0.6199009,Falling,0.45630845,0.16359243
all-mpnet-base-v2,SA-DVAE,9,Standing up (from sitting position),0.49292403,Sitting down,0.6199009,Jumping up,0.6072656,0.012635291
all-mpnet-base-v2,SA-DVAE,10,Clapping,0.388672,Handshaking,0.678878,Putting the palms together,0.6223774,0.056500614
all-mpnet-base-v2,SA-DVAE,11,Reading,0.64220697,Writing,0.5267172,Drink water,0.33086142,0.19585577
all-mpnet-base-v2,SA-DVAE,12,Writing,0.5654894,Typing on a keyboard,0.5722766,Reading,0.5267172,0.045559406
all-mpnet-base-v2,SA-DVAE,13,Tear up paper,0.6304522,Take off glasses,0.3826097,Writing,0.37268382,0.009925872
all-mpnet-base-v2,SA-DVAE,14,Wear jacket,0.4980774,Take off jacket,0.6467941,Wear a shoe,0.56581676,0.08097732
all-mpnet-base-v2,SA-DVAE,15,Take off jacket,0.4219541,Take off a shoe,0.66432804,Wear jacket,0.6467941,0.017533958
all-mpnet-base-v2,SA-DVAE,16,Wear a shoe,0.47279692,Take off a shoe,0.65792346,Wear jacket,0.56581676,0.0921067
all-mpnet-base-v2,SA-DVAE,17,Take off a shoe,0.39647776,Take off glasses,0.66982913,Take off jacket,0.66432804,0.0055010915
all-mpnet-base-v2,SA-DVAE,18,Wear on glasses,0.5331269,Take off glasses,0.61743337,Wear a shoe,0.48745838,0.12997499
all-mpnet-base-v2,SA-DVAE,19,Take off glasses,0.4466195,Take off a shoe,0.66982913,Wear on glasses,0.61743337,0.05239576
all-mpnet-base-v2,SA-DVAE,20,Put on a hat/cap,0.47046,Take off a hat/cap,0.72511697,Wear jacket,0.5159585,0.20915848
all-mpnet-base-v2,SA-DVAE,21,Take off a hat/cap,0.42408824,Put on a hat/cap,0.72511697,Take off jacket,0.6255282,0.09958875
all-mpnet-base-v2,SA-DVAE,22,Cheer up,0.68293446,Hugging other person,0.35021448,Jumping up,0.3236814,0.026533067
all-mpnet-base-v2,SA-DVAE,23,Hand waving,0.3471797,Handshaking,0.73824704,Crossing hands in front (saying stop),0.6487379,0.08950913
all-mpnet-base-v2,SA-DVAE,24,Kicking something,0.4309672,Kicking other person,0.8730548,Hopping (one foot jumping),0.535818,0.33723682
all-mpnet-base-v2,SA-DVAE,25,Reach into pocket,0.5578898,Touching other person's pocket,0.67374253,Pointing to something with finger,0.44833714,0.2254054
all-mpnet-base-v2,SA-DVAE,26,Hopping (one foot jumping),0.47183192,Jumping up,0.6778367,Kicking something,0.535818,0.14201874
all-mpnet-base-v2,SA-DVAE,27,Jumping up,0.490965,Hopping (one foot jumping),0.6778367,Standing up (from sitting position),0.6072656,0.070571125
all-mpnet-base-v2,SA-DVAE,28,Make a phone call/Answer phone,0.6341727,Pickup,0.4106272,Playing with phone/tablet,0.3963363,0.014290899
